Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,40,34,10,8,3,0.0,0.55,0.375,0.697,33.8,11.8,5,0.9,125.0,113.0,31.0,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,8.2,10.2,2.0,5.5,0.4408,0.2858,0.9181,29.45,114.9,105.3,21.6,0.942655,20,2021,11,30,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
James Harden,36,20,7,9,2,0.0,0.364,0.0,0.568,28.6,1.3,6,0.8,102.0,100.0,15.5,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,7.8,10.0,2.0,5.5,0.4227,0.2608,0.9181,29.559999999999995,113.9,107.4,21.32,1.13678,21,2021,12,3,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
James Harden,40,14,7,14,1,0.0,0.238,0.2,0.308,22.9,0.0,0,0.75,96.0,115.0,13.4,23,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,8.0,10.2,2.0,4.9,0.3854,0.2208,0.9198,28.2,109.7,107.1,19.3,1.12856,22,2021,12,4,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
James Harden,42,23,9,12,0,1.0,0.538,0.5,0.715,24.2,8.8,5,0.857,123.0,108.0,22.3,24,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,8.3,10.1,1.7,4.8,0.4007,0.2583,0.9055000000000002,27.93,111.2,108.3,19.85,0.95838,23,2021,12,7,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
James Harden,39,25,11,8,2,0.0,0.25,0.25,0.543,32.8,-0.4,8,0.875,98.0,114.0,16.3,25,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,9.0,10.5,1.9,5.1,0.3795,0.25,0.9021,28.110000000000003,110.1,107.5,20.01,1.15108,24,2021,12,8,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
James Harden,41,20,5,11,0,0.0,0.471,0.0,0.533,25.9,-2.7,6,1.0,98.0,113.0,14.1,26,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,8.5,10.9,1.7,5.1,0.3766,0.1999999999999999,0.9021,27.82,107.7,109.3,18.9,1.10525,25,2021,12,10,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,7.5,10.1,1.4,4.5,0.3485999999999999,0.1769,0.8071000000000002,23.7,96.7,98.5,16.229999999999997,1.06706,26,2021,12,12,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.8,6.9,8.7,1.1,4.0,0.2986,0.1769,0.7071,21.82,85.5,87.7,14.41,0.977144,27,2021,12,14,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,6.2,7.6,0.9,3.7,0.2678,0.1325,0.6182,19.35,72.7,77.1,12.44,1.07935,28,2021,12,16,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,4.9,6.2,0.8,3.0,0.2411,0.1325,0.5182,16.82,64.2,66.3,11.260000000000002,1.21196,29,2021,12,18,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
