Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jalen Brunson,27,21,2,4,0,0.0,0.533,0.333,0.626,31.7,-1.7,3,1.0,113.0,109.0,13.3,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,2.9,8.9,0.8,2.5,0.5041,0.4018,0.9233,28.910000000000004,135.8,118.0,22.11,0.920345,20,2024,12,3,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Jalen Brunson,27,24,1,5,1,0.0,0.75,0.833,1.042,20.7,19.2,0,0.875,209.0,113.0,24.8,22,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,2.7,8.7,0.9,2.2,0.5191,0.4476,0.9275,27.31,142.6,116.1,21.77,1.15911,21,2024,12,5,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Jalen Brunson,44,31,4,10,1,0.0,0.524,0.429,0.621,31.0,-1.5,5,0.667,113.0,125.0,22.9,23,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,2.6,8.7,0.8,2.4,0.5500999999999999,0.4905,0.9192,27.660000000000004,144.6,117.3,23.17,1.22975,22,2024,12,7,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,35,20,4,11,0,0.0,0.538,0.5,0.658,25.2,2.0,3,0.4,125.0,121.0,18.0,24,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.2,2.9,8.7,0.7,2.7,0.5439,0.4849,0.8592000000000001,27.71,139.6,118.0,22.2,1.19546,23,2024,12,9,0,-2.4492935982947064e-16,1.0,0.0,1.0
Jalen Brunson,36,14,4,8,1,1.0,0.333,0.333,0.429,21.6,-1.5,2,0.667,100.0,114.0,12.0,25,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.1,8.5,0.7,2.4,0.5201,0.4546,0.8259000000000001,26.52,135.3,116.5,20.43,1.28051,24,2024,12,11,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Jalen Brunson,38,31,3,5,1,0.0,0.444,0.5,0.642,33.2,6.7,3,0.786,123.0,100.0,22.0,26,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,3.2,8.2,0.7,2.5,0.5224,0.4824,0.8045,27.21,136.1,113.9,20.94,1.11383,25,2024,12,15,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Jalen Brunson,30,14,3,7,1,0.0,0.357,0.4,0.47,24.2,-6.1,3,1.0,107.0,109.0,10.0,27,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,3.2,7.2,0.8,2.6,0.501,0.4423999999999999,0.8045,27.630000000000003,130.6,112.5,19.3,0.885147,26,2024,12,19,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Jalen Brunson,40,39,1,6,2,0.0,0.684,0.7,0.901,27.9,19.9,4,1.0,154.0,108.0,33.0,28,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,3.0,7.1,0.8,2.8,0.5027,0.5124,0.8145,27.08,131.7,110.0,19.43,1.28565,27,2024,12,21,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,32,12,1,7,2,0.0,0.308,0.0,0.363,25.2,-14.8,3,0.5,89.0,119.0,4.7,29,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.2,2.5,7.2,0.9,2.9,0.4835,0.4457,0.7895,26.6,126.6,111.5,17.41,1.05629,28,2024,12,23,0,-2.4492935982947064e-16,1.0,0.0,1.0
Jalen Brunson,38,20,7,9,1,0.0,0.304,0.0,0.383,30.4,-4.9,1,0.857,103.0,121.0,14.3,30,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.6,3.0,7.2,1.0,2.7,0.4775,0.4027999999999999,0.7752,27.110000000000003,123.6,113.9,17.5,1.05476,29,2024,12,25,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
