Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_OKC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Shai Gilgeous-Alexander,39,45,3,9,5,2.0,0.619,0.5,0.802,31.6,23.4,1,0.938,168.0,121.0,46.5,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,5.4,6.3,1.7,2.9,0.509,0.2796999999999999,0.9194,32.26,122.4,105.1,23.24,1.02398,10,2024,11,11,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Shai Gilgeous-Alexander,33,29,5,5,2,2.0,0.48,0.429,0.551,40.8,10.3,2,0.667,107.0,92.0,22.3,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,5.1,6.6,1.5,3.0,0.5141,0.3004,0.8860999999999999,33.32,122.6,106.6,23.56,1.11039,11,2024,11,13,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,33,28,6,4,0,1.0,0.44,0.286,0.523,38.1,7.9,2,1.0,109.0,94.0,18.6,13,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,4.6,6.1,1.2,3.1,0.5123,0.2915,0.8952,33.61,119.5,106.6,21.87,1.28656,12,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,38,36,2,8,2,2.0,0.684,1.0,0.755,29.2,16.1,1,0.818,154.0,128.0,35.3,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,4.4,6.4,1.3,3.1,0.5457,0.3715,0.877,32.96,125.7,109.4,24.290000000000003,0.90379,13,2024,11,17,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,37,32,3,8,3,0.0,0.55,0.625,0.707,29.3,12.1,4,0.833,129.0,109.0,26.3,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.7,4.0,6.6,1.5,3.2,0.534,0.4173,0.877,32.45,124.5,108.7,24.31,1.069,14,2024,11,19,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Shai Gilgeous-Alexander,39,28,5,4,3,1.0,0.368,0.0,0.556,29.3,6.2,2,1.0,124.0,103.0,23.5,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,4.2,6.1,1.8,3.1,0.5208,0.3673,0.877,32.300000000000004,123.7,109.3,24.45,1.02852,15,2024,11,20,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,35,37,4,11,0,0.0,0.65,0.571,0.745,38.2,11.5,6,0.636,133.0,116.0,28.7,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.6,4.0,6.3,1.7,3.3,0.5358,0.3911,0.8406,33.39,126.0,112.2,25.67,1.12735,16,2024,11,25,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Shai Gilgeous-Alexander,39,35,9,5,1,2.0,0.464,0.25,0.54,39.8,6.0,3,0.6,102.0,98.0,23.4,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,4.7,6.2,1.7,2.8,0.5296000000000001,0.4161,0.8206,34.239999999999995,126.6,109.8,26.410000000000004,1.2468,17,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,37,36,6,9,2,1.0,0.464,0.3,0.571,40.7,18.9,3,0.875,123.0,102.0,29.0,19,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.8,6.7,1.8,2.8,0.5072000000000001,0.3961,0.8224,35.02,125.3,109.4,26.87,1.04474,18,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,36,32,8,5,2,0.0,0.526,0.429,0.671,30.7,12.3,2,0.818,133.0,116.0,27.8,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,5.1,6.8,2.0,2.6,0.5245,0.439,0.8185,34.77,128.2,107.9,28.14,1.01781,19,2024,12,1,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,30,26,6,7,3,0.0,0.579,0.333,0.654,27.6,13.5,0,1.0,157.0,106.0,25.6,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.9,5.4,6.6,1.8,2.5,0.5205,0.4223,0.8247,34.370000000000005,127.1,106.4,26.05,1.11421,20,2024,12,3,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Shai Gilgeous-Alexander,30,30,4,5,2,2.0,0.5,0.1,0.588,38.6,8.5,2,0.875,120.0,90.0,23.9,22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,5.3,6.6,1.8,2.5,0.5225,0.3893999999999999,0.8455,34.15,128.4,106.2,26.21,1.01335,21,2024,12,5,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,34,31,2,4,0,0.0,0.556,0.333,0.666,33.3,-1.8,4,0.833,122.0,117.0,19.0,23,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,4.9,6.6,1.8,2.7,0.5341,0.3941,0.8288,33.67,129.7,108.5,26.25,1.16857,22,2024,12,7,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Shai Gilgeous-Alexander,38,39,8,5,3,1.0,0.652,0.556,0.788,28.7,20.3,2,1.0,151.0,101.0,35.3,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,5.5,6.3,1.9,2.8,0.5309,0.3497,0.8469999999999999,33.62,129.4,105.8,26.25,1.12851,23,2024,12,10,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Shai Gilgeous-Alexander,38,32,8,6,5,1.0,0.381,0.333,0.58,34.4,16.8,1,0.933,123.0,85.0,30.2,25,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,6.0,6.1,2.1,2.5,0.514,0.3205,0.857,34.129999999999995,128.8,103.4,26.64,0.91359,24,2024,12,14,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Shai Gilgeous-Alexander,36,35,4,6,4,2.0,0.577,0.2,0.63,40.6,14.3,4,1.0,113.0,97.0,29.2,26,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,5.9,6.3,2.2,2.7,0.5349,0.3404999999999999,0.857,35.26,127.7,102.8,27.21,1.02867,25,2024,12,19,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,38,25,7,4,2,0.0,0.4,0.333,0.483,34.3,1.6,3,1.0,99.0,99.0,15.8,27,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,6.2,5.6,2.4,2.4,0.5098999999999999,0.3167,0.8934000000000001,34.87,124.3,101.1,25.92,1.08542,26,2024,12,20,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,35,41,9,3,3,3.0,0.56,0.5,0.697,34.4,19.7,3,1.0,138.0,95.0,36.0,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.7,6.2,5.4,2.6,2.4,0.5195000000000001,0.3417,0.9334,34.33,127.9,100.8,27.18,1.10358,27,2024,12,23,0,-2.4492935982947064e-16,1.0,0.0,1.0
Shai Gilgeous-Alexander,38,45,7,8,1,2.0,0.682,0.8,0.838,32.4,28.6,1,1.0,170.0,113.0,43.9,29,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,6.3,5.3,2.5,2.2,0.5413,0.3917,0.9459000000000002,33.5,132.6,101.9,28.67,1.04374,28,2024,12,26,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,33,22,4,6,2,1.0,0.533,0.167,0.624,30.9,2.4,6,0.833,101.0,92.0,15.2,30,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,5.9,5.4,2.5,2.6,0.542,0.3655,0.9473999999999998,33.52,129.4,99.5,27.410000000000004,1.04654,29,2024,12,28,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Shai Gilgeous-Alexander,28,35,6,7,1,4.0,0.737,0.2,0.809,32.7,28.4,1,1.0,160.0,94.0,36.4,31,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,5.9,5.4,2.3,2.7,0.5578000000000001,0.3522,0.9474,34.029999999999994,129.7,98.3,28.49,1.08581,30,2024,12,29,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,34,40,3,2,4,0.0,0.652,0.6,0.742,37.7,18.0,3,0.778,132.0,104.0,32.4,32,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,5.8,5.1,2.5,2.8,0.5730000000000001,0.4022,0.9377,33.94,130.9,99.7,29.340000000000003,1.08201,31,2024,12,31,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Shai Gilgeous-Alexander,30,29,3,8,2,0.0,0.529,0.4,0.692,33.4,16.6,1,1.0,143.0,100.0,27.8,33,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,5.9,5.5,2.7,2.5,0.5703,0.4089,0.9544,33.95,133.0,98.0,30.22000000000001,1.2165,32,2025,1,2,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,37,33,4,7,1,1.0,0.462,0.667,0.567,38.3,6.0,2,1.0,120.0,114.0,25.4,34,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,5.5,5.7,2.5,2.5,0.5513,0.42,0.9544,34.910000000000004,129.9,99.3,29.23,0.98541,33,2025,1,3,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,39,33,11,6,3,2.0,0.478,0.5,0.622,33.5,17.4,3,1.0,125.0,87.0,30.2,35,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,5.8,5.7,2.3,2.7,0.561,0.4367,0.9610999999999998,34.82000000000001,130.1,99.5,29.23,0.948965,34,2025,1,5,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,38,31,5,4,3,2.0,0.481,0.167,0.539,38.3,-2.1,5,1.0,98.0,122.0,19.4,36,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,5.9,5.5,2.2,2.8,0.5514,0.4333999999999999,0.9610999999999998,34.59,128.6,102.0,28.25,1.02128,35,2025,1,8,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,29,39,3,2,2,1.0,0.714,1.0,0.795,38.7,19.4,2,1.0,151.0,101.0,32.5,37,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,5.5,5.3,2.2,2.7,0.5828,0.5001,0.9610999999999998,35.03,133.8,102.2,29.920000000000005,1.02283,36,2025,1,10,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,30,27,7,4,2,0.0,0.294,0.25,0.551,35.5,2.5,3,0.941,120.0,89.0,19.8,38,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.4,5.3,5.4,2.1,2.7,0.5562,0.4750999999999999,0.9552,35.14,132.0,101.6,28.3,1.29684,37,2025,1,12,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,33,32,3,9,2,1.0,0.8,0.333,0.864,30.5,15.9,4,0.875,151.0,104.0,30.6,39,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,4.9,5.5,2.2,3.0,0.5680000000000001,0.4284,0.9427,34.95,130.1,100.7,26.97,1.06258,38,2025,1,14,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Shai Gilgeous-Alexander,29,40,3,8,2,0.0,0.654,0.2,0.709,42.4,20.3,2,1.0,142.0,108.0,34.7,40,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,4.8,5.7,2.2,2.6,0.5801000000000001,0.4317,0.9594,36.1,134.2,102.3,28.92,1.10809,39,2025,1,16,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,4.2,5.0,2.1,2.5,0.5064,0.4117,0.8594000000000002,32.83,118.2,92.9,25.28,1.11072,40,2025,1,17,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,29,27,3,10,4,1.0,0.571,0.25,0.734,32.4,20.5,2,1.0,155.0,95.0,31.0,42,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,4.2,5.8,2.1,2.4,0.4982999999999999,0.3767,0.8816,32.3,120.5,92.0,25.14,1.0867,41,2025,1,19,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,37,54,8,5,3,2.0,0.486,0.3,0.629,50.3,19.9,3,0.944,135.0,108.0,43.2,43,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.6,4.7,5.5,2.2,2.6,0.494,0.3666999999999999,0.876,33.989999999999995,119.7,92.8,26.68,1.07412,42,2025,1,22,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
