Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Julius Randle,29,11,6,2,0,0.0,0.333,0.0,0.473,24.2,-14.9,4,0.833,89.0,130.0,3.9,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.6,6.4,4.4,0.7,3.1,0.5099,0.365,0.8213999999999999,25.78,118.8,113.8,15.65,1.1689,10,2024,11,12,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Julius Randle,37,20,10,2,0,0.0,0.467,0.333,0.553,21.0,1.7,1,0.714,120.0,111.0,15.3,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.3,6.9,4.2,0.7,2.9,0.4801,0.315,0.8261,25.22,116.1,113.3,14.580000000000002,1.05148,11,2024,11,13,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Julius Randle,41,26,4,5,1,0.0,0.4,0.286,0.553,29.7,-2.7,4,1.0,108.0,124.0,16.9,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.5,6.4,4.2,0.8,2.9,0.4638,0.3186,0.8547,25.31,115.4,115.0,14.45,1.05356,12,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Julius Randle,34,35,4,7,1,0.0,0.55,0.455,0.73,36.2,11.3,3,0.889,141.0,123.0,28.7,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.1,4.2,0.7,2.9,0.465,0.2641,0.8686,26.69,116.4,115.2,15.47,1.00228,13,2024,11,17,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Julius Randle,38,23,9,3,2,0.0,0.417,0.167,0.604,25.8,1.5,4,0.75,111.0,113.0,17.4,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,6.4,3.8,0.9,3.0,0.4452,0.2408,0.8436,27.06,113.6,114.2,15.21,1.10287,14,2024,11,21,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Julius Randle,36,23,6,2,0,0.0,0.467,0.25,0.555,26.4,4.0,0,0.615,127.0,121.0,16.9,16,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,6.5,3.8,0.8,2.7,0.4386,0.2658,0.8218,26.5,115.7,114.4,15.56,0.915157,15,2024,11,24,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Julius Randle,35,21,6,3,1,0.0,0.5,0.0,0.543,27.6,-0.1,3,1.0,105.0,111.0,12.7,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.7,3.7,0.7,2.9,0.4486,0.2408,0.8551,26.79,113.7,115.7,15.57,1.01662,16,2024,11,26,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Julius Randle,36,21,9,4,2,0.0,0.571,0.2,0.666,26.5,-1.0,4,1.0,109.0,114.0,16.7,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.9,6.6,3.8,0.8,2.9,0.4524,0.2358,0.8551,26.93,112.8,115.0,15.52,1.28205,17,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Julius Randle,30,11,10,4,0,0.0,0.444,0.2,0.557,19.3,-2.3,3,1.0,98.0,99.0,8.3,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,7.0,3.8,0.8,3.0,0.4524,0.2058,0.8801,26.24,110.6,114.7,14.72,0.921637,18,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Julius Randle,24,18,5,3,2,0.0,0.462,0.667,0.61,30.1,8.8,1,1.0,124.0,81.0,15.1,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,6.9,3.5,0.9,2.7,0.4611,0.2558,0.8801,26.68,113.2,112.7,15.189999999999998,1.10359,19,2024,12,2,0,-2.4492935982947064e-16,1.0,0.0,1.0
Julius Randle,26,20,4,4,1,0.0,0.5,0.444,0.625,28.9,8.1,1,0.0,116.0,85.0,15.2,21,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,6.7,3.7,1.0,2.4,0.4778,0.3002,0.7968,27.15,115.9,108.2,16.32,1.10135,20,2024,12,4,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Julius Randle,24,16,9,4,1,0.0,0.455,0.5,0.627,27.2,6.6,3,1.0,114.0,87.0,14.2,22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,6.6,3.9,1.1,2.6,0.4766,0.3169,0.8253999999999999,27.77,115.3,105.8,16.21,0.949464,21,2024,12,6,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Julius Randle,37,14,11,4,0,2.0,0.286,0.5,0.444,22.0,-3.5,2,1.0,103.0,119.0,11.7,23,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,7.3,3.8,1.0,2.4,0.4652,0.3383,0.8253999999999999,27.0,114.8,105.3,15.689999999999998,1.02527,22,2024,12,8,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Julius Randle,33,21,5,3,1,0.0,0.438,0.0,0.538,28.4,1.6,2,0.875,111.0,94.0,13.6,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,7.4,3.4,1.0,2.3,0.454,0.2928,0.8240000000000001,26.22,111.8,102.4,14.18,1.00026,23,2024,12,13,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Julius Randle,28,11,4,3,2,1.0,0.364,0.0,0.431,20.9,-1.1,2,0.75,93.0,92.0,8.1,25,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.6,6.9,3.4,1.0,2.1,0.4487,0.2761,0.8240000000000001,25.73,110.0,100.3,13.25,1.18944,24,2024,12,15,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Julius Randle,30,24,5,3,0,0.0,0.471,0.5,0.611,36.0,-4.8,5,0.667,98.0,138.0,13.1,26,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,6.8,3.5,1.0,2.6,0.4490999999999999,0.3011,0.8291999999999999,26.69,107.1,102.0,12.87,0.936094,25,2024,12,19,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Julius Randle,32,16,7,6,0,0.0,0.308,0.333,0.472,26.4,-1.2,3,0.778,100.0,119.0,11.0,27,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,6.9,3.8,0.9,2.6,0.4298999999999999,0.3344,0.807,26.57,106.6,102.8,12.7,1.3301,26,2024,12,21,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Julius Randle,36,19,13,7,0,1.0,0.4,0.286,0.539,29.4,-3.5,8,0.833,95.0,121.0,13.2,28,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.3,4.1,0.7,3.0,0.4128,0.3429999999999999,0.7903,26.86,105.2,103.5,12.35,1.14503,27,2024,12,23,0,-2.4492935982947064e-16,1.0,0.0,1.0
Julius Randle,34,23,10,8,0,0.0,0.462,0.6,0.661,28.1,9.7,3,0.8,132.0,111.0,21.1,29,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,7.3,4.5,0.7,3.0,0.4145999999999999,0.383,0.7703,27.74,108.6,104.7,13.63,1.03263,28,2024,12,25,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Julius Randle,36,27,8,8,0,1.0,0.625,0.833,0.8,27.4,10.1,5,1.0,134.0,118.0,22.7,30,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,7.6,5.0,0.5,3.4,0.4309,0.3995999999999999,0.7703,27.47,109.6,108.4,14.39,1.04483,29,2024,12,27,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Julius Randle,35,16,4,4,0,0.0,0.438,0.0,0.474,20.9,-1.4,1,1.0,112.0,118.0,10.6,31,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.7,7.6,5.0,0.4,3.4,0.4246999999999999,0.3551999999999999,0.8703,26.67,109.2,111.7,13.929999999999998,0.894027,30,2024,12,29,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Julius Randle,27,11,6,6,0,1.0,0.417,0.25,0.458,26.1,0.4,4,0.0,100.0,118.0,8.5,32,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,7.3,5.2,0.3,3.5,0.4208999999999999,0.3301999999999999,0.7703,26.559999999999995,107.8,114.8,13.36,0.956355,31,2024,12,31,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Julius Randle,39,27,8,7,1,0.0,0.563,0.714,0.76,26.8,9.9,4,1.0,143.0,135.0,24.1,33,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,7.0,5.5,0.4,3.7,0.4486,0.3516,0.7703,27.04,111.8,116.4,14.6,0.730641,32,2025,1,2,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Julius Randle,36,17,7,6,0,0.0,0.5,0.0,0.599,21.1,-0.6,3,1.0,119.0,125.0,13.5,34,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,7.2,5.8,0.3,3.8,0.4548,0.3516,0.7828,26.31,112.6,119.5,14.59,0.924174,33,2025,1,4,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Julius Randle,23,5,6,2,0,0.0,0.2,0.0,0.23,25.0,-18.5,3,0.5,65.0,116.0,-1.4,35,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,7.4,5.7,0.1,3.9,0.4384,0.3516,0.7578,26.72,109.8,121.9,13.64,0.932712,34,2025,1,6,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Julius Randle,35,16,6,3,2,0.0,0.545,0.25,0.606,19.3,-1.3,3,0.6,103.0,95.0,11.2,36,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,7.5,5.7,0.3,3.7,0.4458,0.3266,0.7511,25.05,110.3,117.6,13.45,0.964804,35,2025,1,7,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Julius Randle,31,23,10,2,0,1.0,0.5,0.333,0.617,29.5,6.3,2,1.0,126.0,97.0,18.9,37,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,7.8,5.3,0.3,3.6,0.465,0.3265999999999999,0.7733,25.36,112.9,115.4,14.239999999999998,1.03297,36,2025,1,9,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Julius Randle,33,18,8,8,0,0.0,0.538,0.2,0.61,24.5,-2.3,4,0.75,118.0,126.0,14.9,38,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,7.3,5.4,0.3,3.2,0.4788,0.318,0.765,24.87,115.2,115.9,14.41,1.07826,37,2025,1,11,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Julius Randle,33,20,10,3,0,0.0,0.533,0.0,0.54,27.3,-4.4,3,0.5,111.0,112.0,14.0,39,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,7.3,4.9,0.3,3.2,0.4859,0.258,0.735,24.79,113.1,116.0,13.7,1.24599,38,2025,1,13,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Julius Randle,27,17,6,1,1,0.0,0.444,0.333,0.472,32.5,-7.4,2,0.0,103.0,132.0,9.5,40,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.1,4.2,0.4,2.9,0.4678,0.208,0.635,25.3,110.0,117.4,12.38,1.07452,39,2025,1,15,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Julius Randle,34,8,7,6,0,0.0,0.333,0.0,0.515,16.2,-5.3,4,1.0,109.0,116.0,6.5,41,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,7.4,4.4,0.4,3.2,0.4572999999999999,0.208,0.635,24.83,109.7,117.2,11.97,1.20172,40,2025,1,17,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Julius Randle,38,20,14,9,1,0.0,0.583,0.2,0.663,21.3,7.5,3,0.714,134.0,125.0,22.9,42,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,8.2,4.7,0.5,3.1,0.4739,0.203,0.7064,24.35,113.1,117.9,13.41,1.22263,41,2025,1,18,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Julius Randle,34,5,11,7,0,2.0,0.154,0.0,0.175,18.1,-4.4,1,0.333,77.0,108.0,4.5,43,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,8.5,4.7,0.4,2.8,0.433,0.1316,0.6396999999999999,23.48,106.5,115.2,11.45,1.48986,42,2025,1,20,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Julius Randle,34,16,6,3,3,0.0,0.308,0.5,0.484,24.6,-4.0,2,0.875,107.0,112.0,12.2,44,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,8.4,4.4,0.7,2.7,0.4138,0.1816,0.6272,23.83,105.3,113.9,11.32,1.09507,43,2025,1,22,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Julius Randle,32,21,7,7,2,1.0,0.45,0.167,0.503,29.0,2.8,2,1.0,130.0,109.0,19.5,45,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,8.5,4.9,0.9,2.6,0.4387999999999999,0.1983,0.6771999999999999,24.23,111.8,113.2,13.41,1.09944,44,2025,1,25,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Julius Randle,32,20,8,2,1,0.0,0.412,0.375,0.546,29.7,-1.4,5,1.0,95.0,95.0,10.7,46,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,8.7,4.8,0.8,2.8,0.4255,0.2108,0.7172,25.27,111.0,113.2,13.36,1.03654,45,2025,1,27,0,0.49999999999999994,0.8660254037844387,0.0,1.0
