Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.2,3.7,1.3,2.1,0.2202,0.16,0.425,14.589999999999998,51.9,52.8,8.7,1.09327,10,2021,11,8,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.2,1.1,1.6,0.1758,0.1044,0.325,11.76,41.5,41.3,7.19,1.14561,11,2021,11,10,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.4,2.6,0.9,1.3,0.1389999999999999,0.06,0.275,9.3,31.8,29.7,5.779999999999999,1.20293,12,2021,11,12,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.1,1.4,2.6,0.9,1.3,0.1389999999999999,0.06,0.275,9.3,31.8,29.7,5.779999999999999,1.17971,13,2021,11,14,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.4,2.6,0.9,1.3,0.1389999999999999,0.06,0.275,9.3,31.8,29.7,5.779999999999999,0.888341,14,2021,11,15,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.1,1.8,0.6,0.6,0.0935,0.05,0.175,5.66,21.3,18.9,4.0,1.20135,15,2021,11,17,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
LeBron James,32,23,6,2,2,0.0,0.625,0.429,0.7,27.3,4.4,3,0.0,114.0,126.0,16.8,17,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1.0,1.2,0.4,0.7,0.1244,0.0929,0.1,5.61,24.2,23.6,4.23,1.14808,16,2021,11,19,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
LeBron James,21,10,1,5,0,0.0,0.571,0.333,0.672,18.1,-0.9,2,1.0,120.0,119.0,8.1,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.7,0.7,0.2,0.5,0.1196,0.0762,0.1,4.540000000000001,23.4,24.5,2.49,1.09818,17,2021,11,21,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.7,0.7,0.2,0.5,0.1196,0.0762,0.1,4.540000000000001,23.4,24.5,2.49,1.08701,18,2021,11,23,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
LeBron James,43,39,5,6,1,2.0,0.448,0.417,0.592,35.9,11.0,2,0.889,121.0,108.0,28.8,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.2,1.3,0.3,0.7,0.1644,0.1179,0.1889,8.129999999999999,35.5,35.3,5.37,0.783018,19,2021,11,24,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
LeBron James,50,30,7,11,1,0.0,0.4,0.154,0.503,35.0,-3.7,7,0.727,98.0,117.0,17.9,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.2,1.9,2.4,0.4,1.4,0.2044,0.1333,0.2616,11.63,45.3,47.0,7.159999999999999,1.15224,20,2021,11,26,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
LeBron James,37,33,5,9,2,1.0,0.6,0.444,0.702,30.0,15.2,2,0.625,131.0,105.0,30.7,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2.4,3.3,0.6,1.6,0.2644,0.1777,0.3241,14.63,58.4,57.5,10.23,1.02699,21,2021,11,28,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.5,2.4,3.3,0.6,1.6,0.2644,0.1777,0.3241,14.63,58.4,57.5,10.23,1.16324,22,2021,11,30,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
LeBron James,36,23,11,6,2,0.0,0.391,0.25,0.456,33.9,-1.1,3,0.6,103.0,125.0,16.6,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,3.5,3.9,0.8,1.9,0.3035,0.2027,0.3841,18.02,68.7,70.0,11.89,1.2033,23,2021,12,3,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
LeBron James,36,30,4,5,0,0.0,0.684,0.4,0.755,26.5,10.0,3,1.0,139.0,110.0,23.6,25,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,3.9,4.4,0.8,2.2,0.3719,0.2427,0.4841,20.67,82.6,81.0,14.25,1.1416,24,2021,12,7,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
LeBron James,37,20,10,11,4,2.0,0.467,0.167,0.581,26.5,12.4,5,1.0,109.0,97.0,23.0,26,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,4.9,5.5,1.2,2.7,0.4185999999999999,0.2593999999999999,0.5841000000000001,23.32,93.5,90.7,16.55,1.04104,25,2021,12,9,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
LeBron James,35,33,5,6,3,2.0,0.65,0.667,0.758,29.4,20.4,2,0.75,147.0,94.0,31.1,27,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,4.8,5.9,1.3,2.6,0.4211,0.2832,0.6591,23.53,96.8,87.5,17.979999999999997,1.0866,26,2021,12,10,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
LeBron James,37,30,11,10,0,3.0,0.6,0.429,0.689,34.3,10.7,6,0.75,118.0,96.0,26.4,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,5.8,6.4,1.3,3.0,0.424,0.2928,0.6341,25.15,96.6,85.2,19.81,1.15689,27,2021,12,12,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
LeBron James,43,24,3,5,1,0.0,0.474,0.444,0.591,24.6,4.2,2,0.667,109.0,102.0,16.9,29,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,6.1,6.9,1.4,3.2,0.4714,0.3372,0.7008,27.61,107.5,95.4,21.5,1.06979,28,2021,12,15,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
LeBron James,36,18,10,5,1,2.0,0.385,0.333,0.545,25.5,1.2,4,0.75,94.0,99.0,13.4,30,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,6.6,6.8,1.4,3.4,0.4650999999999999,0.3288,0.6869,26.57,104.8,94.5,19.96,1.04124,29,2021,12,17,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
LeBron James,39,31,14,6,1,2.0,0.524,0.143,0.6,32.8,3.8,4,0.727,117.0,109.0,24.7,31,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,7.3,6.3,1.4,3.1,0.4775,0.3277,0.6869000000000001,26.35,106.7,93.7,20.64,1.19934,30,2021,12,19,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
LeBron James,34,34,7,2,2,0.0,0.684,0.4,0.786,30.0,18.4,2,1.0,142.0,101.0,29.0,32,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,7.5,5.6,1.4,3.1,0.4859,0.3233,0.7244,26.35,107.8,93.3,20.47,0.970363,31,2021,12,21,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
LeBron James,35,36,9,6,1,2.0,0.577,0.286,0.628,36.1,14.4,3,0.667,123.0,130.0,29.3,33,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.9,8.4,6.2,1.5,3.4,0.5436,0.3519,0.7911,29.96,120.1,106.3,23.4,0.883129,32,2021,12,23,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
LeBron James,40,39,9,7,3,1.0,0.56,0.333,0.673,31.7,15.4,3,0.889,129.0,112.0,34.6,34,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,8.2,6.3,1.6,3.4,0.5605,0.3601999999999999,0.82,29.74,122.7,105.0,25.2,0.952494,33,2021,12,25,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
LeBron James,39,32,10,11,1,2.0,0.579,0.6,0.697,27.1,12.3,3,0.778,148.0,120.0,32.8,35,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,8.8,6.9,1.7,3.4,0.55,0.3802,0.7978,29.8,123.6,106.0,26.12,1.18726,34,2021,12,28,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
LeBron James,38,37,13,7,2,2.0,0.52,0.571,0.703,36.8,23.1,5,1.0,123.0,98.0,32.3,36,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,9.1,6.5,1.5,3.4,0.5553,0.4206,0.7978,30.829999999999995,125.0,106.1,27.05,1.11881,35,2021,12,29,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
LeBron James,29,43,14,4,2,2.0,0.615,0.5,0.718,46.7,23.0,0,0.667,146.0,89.0,40.8,37,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.4,10.0,6.3,1.4,3.2,0.5518,0.4039,0.7895,32.56,124.9,105.6,28.02,1.2024,36,2021,12,31,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
LeBron James,39,26,7,5,3,1.0,0.467,0.333,0.641,25.3,8.8,1,0.75,130.0,100.0,24.6,38,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.6,5.8,1.7,2.7,0.5385,0.3943,0.7895,31.66,126.1,106.0,27.84,1.15426,37,2022,1,2,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
LeBron James,36,31,5,5,0,1.0,0.462,0.3,0.55,35.2,2.2,2,0.8,118.0,120.0,20.5,39,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.7,9.8,5.8,1.6,2.7,0.5373,0.3798999999999999,0.8028000000000001,32.720000000000006,127.0,107.8,28.2,1.12145,38,2022,1,4,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
LeBron James,36,32,8,9,4,3.0,0.542,0.167,0.611,33.8,9.7,4,1.0,116.0,100.0,30.0,40,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,9.6,6.2,1.9,2.7,0.553,0.3633,0.8278000000000001,33.55,129.2,107.9,29.86,1.01619,39,2022,1,7,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
LeBron James,33,35,9,7,0,0.0,0.737,0.75,0.843,29.1,17.3,3,1.0,157.0,132.0,32.7,41,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,9.1,6.3,1.8,2.6,0.5743,0.424,0.8551,33.18,133.2,110.2,30.660000000000004,1.00407,40,2022,1,9,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
LeBron James,39,34,7,6,0,1.0,0.448,0.25,0.509,36.1,3.5,1,0.5,114.0,127.0,22.5,42,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.5,9.1,6.7,1.6,2.5,0.5507,0.409,0.8051,33.79,130.4,112.8,30.01,1.11466,41,2022,1,12,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
LeBron James,31,25,9,2,0,2.0,0.391,0.25,0.479,42.2,1.7,1,0.714,97.0,138.0,16.6,43,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,9.1,6.3,1.5,2.3,0.5321,0.4054,0.8097999999999999,34.4,127.8,113.6,28.74,1.04956,42,2022,1,15,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
LeBron James,37,25,7,7,1,1.0,0.45,0.375,0.531,29.2,11.7,1,0.5,117.0,98.0,20.3,44,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,8.9,6.3,1.3,2.1,0.5210999999999999,0.4096,0.7708999999999999,34.15,126.6,112.2,27.31,1.02217,43,2022,1,17,0,0.49999999999999994,0.8660254037844387,0.0,1.0
