Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Lauri Markkanen,37,24,6,1,0,0.0,0.529,0.455,0.688,23.5,-3.5,4,1.0,114.0,135.0,14.2,21,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,7.2,1.8,0.3,2.4,0.5339,0.4484,0.6917,24.31,119.9,121.1,16.479999999999997,1.01905,20,2022,11,25,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Lauri Markkanen,36,15,10,2,0,0.0,0.308,0.25,0.466,23.9,-7.2,2,0.714,96.0,121.0,8.3,22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.5,7.9,1.8,0.3,2.5,0.498,0.4484,0.6964,24.17,115.6,121.4,15.54,1.01518,21,2022,11,26,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,38,32,9,1,0,0.0,0.667,0.636,0.847,25.0,10.2,2,0.5,138.0,121.0,25.6,23,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,8.0,1.9,0.3,2.4,0.5147,0.437,0.6464000000000001,23.48,116.2,121.9,15.79,1.08789,22,2022,11,28,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Lauri Markkanen,36,23,9,2,0,0.0,0.636,0.571,0.871,16.8,6.9,1,1.0,175.0,116.0,20.4,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,8.4,2.0,0.3,2.4,0.5212000000000001,0.4608,0.7464000000000001,23.08,122.9,121.6,16.490000000000002,1.11762,23,2022,11,30,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Lauri Markkanen,33,24,13,3,1,0.0,0.533,0.556,0.716,20.8,9.7,1,0.75,144.0,103.0,22.7,25,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.7,2.3,0.4,2.1,0.5283,0.4764,0.7964,22.98,128.8,121.0,18.07,1.17082,24,2022,12,2,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Lauri Markkanen,35,21,6,2,3,1.0,0.4,0.667,0.752,23.5,3.7,5,1.0,116.0,112.0,17.1,26,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.8,8.7,2.1,0.7,2.4,0.5227999999999999,0.5031,0.8464,23.39,128.8,120.1,18.69,1.25291,25,2022,12,3,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.1,1.8,0.6,2.3,0.4394999999999999,0.4364,0.7714000000000001,20.73,111.8,107.4,15.28,1.05873,26,2022,12,7,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Lauri Markkanen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,7.1,1.6,0.5,2.0,0.3857,0.3764,0.6964,18.2,99.1,96.3,13.49,1.04439,27,2022,12,9,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Lauri Markkanen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,6.1,1.3,0.4,1.8,0.3381,0.3564,0.5964,15.57,86.5,83.9,11.34,1.1997,28,2022,12,10,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,31,19,11,1,1,1.0,0.5,0.286,0.563,23.1,2.6,2,0.5,113.0,90.0,13.9,30,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,6.4,1.2,0.5,1.7,0.3573,0.3420999999999999,0.5464,15.660000000000002,89.6,79.8,12.22,1.13566,29,2022,12,13,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
