Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_PHO,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kevin Durant,37,31,5,5,0,0.0,0.6,0.5,0.712,32.1,8.1,1,1.0,138.0,113.0,24.2,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.4,7.2,6.1,0.4,3.0,0.5565,0.2867,0.8217000000000001,30.18,122.1,111.4,22.58,1.13895,20,2022,11,27,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,39,45,7,5,2,2.0,0.792,0.6,0.873,37.9,19.2,6,1.0,141.0,102.0,37.6,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.7,5.4,0.5,3.5,0.5831000000000001,0.3267,0.8417,30.880000000000003,122.0,113.5,23.11,1.332,21,2022,11,28,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Kevin Durant,37,39,5,5,0,1.0,0.65,0.667,0.785,32.2,15.5,1,1.0,154.0,111.0,33.3,23,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.2,6.6,5.6,0.3,3.3,0.5856,0.3334,0.8417,31.33,124.9,115.3,24.19,1.20508,22,2022,11,30,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,38,17,9,7,0,2.0,0.6,0.0,0.672,17.0,7.5,2,0.833,132.0,104.0,19.0,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.8,6.6,5.6,0.3,3.2,0.5956,0.2667,0.8383,29.96,125.0,113.7,23.35,1.16464,23,2022,12,2,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kevin Durant,40,31,7,5,2,2.0,0.542,0.2,0.592,38.4,7.9,8,0.8,94.0,103.0,20.0,25,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,6.9,5.5,0.5,3.8,0.5965,0.2867,0.8183,30.76,121.1,109.9,23.05,1.05332,24,2022,12,4,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Kevin Durant,36,29,9,8,0,0.0,0.632,0.4,0.714,29.8,5.4,3,1.0,130.0,120.0,25.0,26,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,7.0,6.0,0.5,3.7,0.6006,0.3016999999999999,0.8382999999999999,30.2,122.9,111.2,23.19,1.16638,25,2022,12,7,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Kevin Durant,36,34,4,4,1,2.0,0.56,0.286,0.635,36.0,3.9,4,1.0,115.0,114.0,24.5,27,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,6.7,5.7,0.5,3.7,0.6003000000000001,0.3303,0.8382999999999999,30.860000000000003,122.1,111.8,23.45,1.17831,26,2022,12,9,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kevin Durant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,6.2,5.2,0.5,3.4,0.536,0.3303,0.7383,28.54,110.6,99.1,21.73,1.20407,27,2022,12,10,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Kevin Durant,33,30,9,6,1,1.0,0.647,0.5,0.781,29.5,16.6,3,1.0,136.0,98.0,27.7,29,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.2,6.4,5.3,0.6,3.3,0.5507000000000001,0.3403,0.8382999999999999,29.52,114.6,98.7,23.51,1.11971,28,2022,12,12,0,-2.4492935982947064e-16,1.0,0.0,1.0
Kevin Durant,37,28,4,3,1,0.0,0.667,0.667,0.794,29.2,1.9,5,1.0,124.0,124.0,19.6,30,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.4,5.9,4.8,0.7,3.3,0.5690000000000001,0.382,0.8633,28.21,116.4,98.9,23.09,1.19619,29,2022,12,16,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
