Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Donovan Mitchell,35,35,7,3,2,1.0,0.571,0.545,0.714,34.3,13.6,3,0.625,126.0,106.0,27.0,21,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,6.4,3.7,1.6,1.3,0.4022,0.3421,0.5315,27.92,105.2,100.7,18.36,1.22551,20,2024,12,1,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,28,19,5,7,3,0.0,0.4,0.5,0.582,26.8,12.3,1,1.0,122.0,80.0,18.5,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.7,6.1,4.2,1.5,1.4,0.396,0.3483,0.5481999999999999,27.19,104.5,98.5,17.25,1.20814,21,2024,12,3,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Donovan Mitchell,33,28,3,6,2,2.0,0.458,0.6,0.583,35.8,5.4,5,0.0,102.0,101.0,17.9,23,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,5.1,3.9,1.5,1.9,0.3989,0.3698,0.5481999999999999,27.94,101.4,98.2,16.59,1.06679,22,2024,12,5,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Donovan Mitchell,36,18,8,8,0,0.0,0.5,0.5,0.699,19.8,3.9,3,0.5,131.0,115.0,16.2,24,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,5.2,4.3,1.4,2.1,0.3967,0.366,0.5125,26.65,101.0,98.4,15.13,1.3231,23,2024,12,7,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Donovan Mitchell,31,12,1,5,2,0.0,0.313,0.2,0.365,29.4,-8.8,3,1.0,74.0,125.0,5.2,25,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,5.3,4.8,1.6,2.4,0.428,0.386,0.6125,29.59,108.4,110.9,15.65,1.15145,24,2024,12,8,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,34,20,6,6,1,0.0,0.389,0.364,0.518,23.8,2.8,1,0.667,114.0,107.0,15.4,26,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.1,5.1,1.7,2.4,0.4221,0.3951,0.6042,28.24,108.4,108.6,15.05,1.23226,25,2024,12,13,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,30,18,3,5,4,0.0,0.429,0.3,0.571,23.9,4.7,1,0.75,128.0,97.0,16.8,27,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,5.2,5.4,1.9,2.5,0.425,0.4051,0.6292,28.28,109.3,108.0,15.95,1.22172,26,2024,12,16,0,-2.4492935982947064e-16,1.0,0.0,1.0
Donovan Mitchell,27,27,4,6,2,0.0,0.6,0.429,0.729,28.4,17.5,0,0.75,158.0,95.0,26.3,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,5.2,5.9,2.0,2.2,0.4294,0.3924,0.6042,28.58,113.3,106.4,16.93,0.81407,27,2024,12,20,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,28,19,4,5,0,0.0,0.438,0.4,0.578,32.1,-2.7,4,1.0,106.0,108.0,11.3,29,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.8,5.2,5.7,1.8,2.3,0.4314999999999999,0.4038,0.6292,28.45,112.9,104.4,15.96,1.04519,28,2024,12,21,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Donovan Mitchell,34,22,3,7,3,0.0,0.467,0.5,0.64,23.5,9.0,1,0.8,136.0,113.0,20.9,30,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.8,4.4,5.8,1.9,2.2,0.4565,0.4338,0.7092,27.78,119.7,104.7,17.55,0.918081,29,2024,12,23,0,-2.4492935982947064e-16,1.0,0.0,1.0
