Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Brandon Ingram,2024-02-23,NOP,,MIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-02-25,NOP,,CHI,38:39,22,3,6,3,1,.438,.333,.564,31.3,-2.6,9,.750,86,112,12.2
Brandon Ingram,2024-02-27,NOP,@,NYK,33:49,24,6,5,0,2,.500,.429,.621,34.1,0.9,5,1.000,110,103,15.5
Brandon Ingram,2024-02-28,NOP,@,IND,28:34,30,6,4,0,0,.400,.200,.583,40.8,6.4,1,1.000,124,126,22.8
Brandon Ingram,2024-03-01,NOP,,IND,30:28,34,8,6,1,0,.619,.500,.681,37.1,11.3,2,.778,141,100,28.5
Brandon Ingram,2024-03-05,NOP,@,TOR,25:06,12,3,6,0,0,.714,.000,.761,15.6,0.3,2,1.000,145,105,11.4
Brandon Ingram,2024-03-08,NOP,@,PHI,34:38,17,7,5,0,2,.600,1.000,.723,21.6,2.5,4,.750,113,106,13.8
Brandon Ingram,2024-03-10,NOP,@,ATL,31:50,7,7,10,1,0,.333,.000,.354,18.5,-5.2,2,.500,102,111,8.8
Brandon Ingram,2024-03-13,NOP,,CLE,32:05,20,5,5,1,0,.571,.000,.617,26.6,3.1,2,.800,117,126,16.6
Brandon Ingram,2024-03-15,NOP,,LAC,34:57,13,5,7,1,0,.333,.500,.472,18.2,1.0,0,.750,120,115,12.0
Brandon Ingram,2024-03-16,NOP,,POR,35:20,22,7,2,1,4,.476,.200,.513,27.6,-0.7,1,1.000,110,105,17.6
Brandon Ingram,2024-03-19,NOP,@,BRK,31:35,11,4,6,0,1,.333,.200,.413,24.4,-6.9,3,.667,88,106,5.7
Brandon Ingram,2024-03-21,NOP,@,ORL,21:29,14,4,3,1,0,.583,.000,.583,29.7,-0.8,2,,100,121,9.9
Brandon Ingram,2024-03-22,NOP,@,MIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-03-24,NOP,@,DET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-03-26,NOP,,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-03-28,NOP,,MIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-03-30,NOP,,BOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-01,NOP,,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-03,NOP,,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-05,NOP,,SAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-07,NOP,@,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-09,NOP,@,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-11,NOP,@,SAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-12,NOP,@,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2024-04-14,NOP,,LAL,23:23,13,5,0,0,0,.667,.333,.722,20.3,-2.9,2,,105,127,8.6
